province_code,year,elec_price,grid_cef,policy_dummy,al_price,al_price_global,data_source_elec,data_source_cef,data_source_policy,data_source_al_price,data_source_al_price_global,Unnamed: 12,Unnamed: 13
YN,2015.0,0.5149,0.1116,0.0,12206.0,1682.44,发改委价格监测中心,海东市“十三五”控制温室气体排放目标责任考核实施方案,,聚金数据，上海有色网,聚金数据,,
GX,2015.0,0.514,0.3573,0.0,12206.0,1682.44,发改委价格监测中心,海东市“十三五”控制温室气体排放目标责任考核实施方案,,聚金数据，上海有色网,聚金数据,,
NMG,2015.0,0.3989,0.7939,0.0,12206.0,1682.44,发改委价格监测中心,海东市“十三五”控制温室气体排放目标责任考核实施方案,,聚金数据，上海有色网,聚金数据,,
HN,2015.0,0.7467,0.8116,0.0,12206.0,1682.44,发改委价格监测中心,海东市“十三五”控制温室气体排放目标责任考核实施方案,无产能承接政策，为产能转出省份,聚金数据，上海有色网,聚金数据,,
SD,2015.0,0.775,0.8555,0.0,12206.0,1682.44,发改委价格监测中心,海东市“十三五”控制温室气体排放目标责任考核实施方案,无产能承接政策，为产能转出省份,聚金数据，上海有色网,聚金数据,,
YN,2016.0,0.5156,0.1082,1.0,12344.0,1610.27,发改委价格监测中心,《中国区域电网二氧化碳排放因子研究（2016）》,云南省产业发展规划（2016—2025年）,聚金数据，上海有色网,聚金数据,,
NMG,2016.0,0.4014,0.7786,0.0,12344.0,1610.27,发改委价格监测中心,《中国区域电网二氧化碳排放因子研究（2016）》,,聚金数据，上海有色网,聚金数据,,
GX,2016.0,0.5142,0.3684,0.0,12344.0,1610.27,发改委价格监测中心,《中国区域电网二氧化碳排放因子研究（2016）》,,聚金数据，上海有色网,聚金数据,,
HN,2016.0,0.76,0.8027,0.0,12344.0,1610.27,发改委价格监测中心,《中国区域电网二氧化碳排放因子研究（2016）》,无产能承接政策，为产能转出省份,聚金数据，上海有色网,聚金数据,,
SD,2016.0,0.77,0.8593,0.0,12344.0,1610.27,发改委价格监测中心,《中国区域电网二氧化碳排放因子研究（2016）》,无产能承接政策，为产能转出省份,聚金数据，上海有色网,聚金数据,,
SD,2017.0,0.77,0.8421,0.0,14631.0,1980.8,发改委价格监测中心,《2017 年省级电网排放因子测算报告》,无产能承接政策，为产能转出省份,聚金数据，上海有色网,聚金数据,,
HN,2017.0,0.7425,0.7845,0.0,14631.0,1980.8,发改委价格监测中心,《2017 年省级电网排放因子测算报告》,无产能承接政策，为产能转出省份,聚金数据，上海有色网,聚金数据,,
NMG,2017.0,0.4025,0.7413,1.0,14631.0,1980.8,发改委价格监测中心,《2017 年省级电网排放因子测算报告》,内蒙古自治区规范电解铝产能置换工作的通知,聚金数据，上海有色网,聚金数据,,
GX,2017.0,0.5135,0.3812,1.0,14631.0,1980.8,发改委价格监测中心,《2017 年省级电网排放因子测算报告》,广西铝产业二次创业中长期方案,聚金数据，上海有色网,聚金数据,,
YN,2017.0,0.5137,0.0995,1.0,14631.0,1980.8,发改委价格监测中心,《2017 年省级电网排放因子测算报告》,政策有效期内,聚金数据，上海有色网,聚金数据,,
NMG,2018.0,0.4021,0.753,1.0,14293.0,2111.75,发改委价格监测中心,中国区域电网二氧化碳排放因子研究（2023）,政策有效期内,聚金数据，上海有色网,聚金数据,,
HN,2018.0,0.6633,0.791,0.0,14293.0,2111.75,发改委价格监测中心,中国区域电网二氧化碳排放因子研究（2023）,无产能承接政策，为产能转出省份,聚金数据，上海有色网,聚金数据,,
SD,2018.0,0.7267,0.861,0.0,14293.0,2111.75,发改委价格监测中心,中国区域电网二氧化碳排放因子研究（2023）,无产能承接政策，为产能转出省份,聚金数据，上海有色网,聚金数据,,
GX,2018.0,0.5113,0.394,1.0,14293.0,2111.75,发改委价格监测中心,中国区域电网二氧化碳排放因子研究（2023）,政策有效期内,聚金数据，上海有色网,聚金数据,,
YN,2018.0,0.5115,0.092,1.0,14293.0,2111.75,发改委价格监测中心,中国区域电网二氧化碳排放因子研究（2023）,政策有效期内,聚金数据，上海有色网,聚金数据,,
GX,2019.0,0.51,0.386,1.0,13925.0,1812.69,发改委价格监测中心,,政策有效期内,聚金数据，上海有色网,聚金数据,,
YN,2019.0,0.5091,0.102,1.0,13925.0,1812.69,发改委价格监测中心,,政策有效期内,聚金数据，上海有色网,聚金数据,,
SD,2019.0,0.625,0.824,0.0,13925.0,1812.69,发改委价格监测中心,,无产能承接政策，为产能转出省份,聚金数据，上海有色网,聚金数据,,
HN,2019.0,0.62,0.773,0.0,13925.0,1812.69,发改委价格监测中心,,无产能承接政策，为产能转出省份,聚金数据，上海有色网,聚金数据,,
NMG,2019.0,0.4036,0.726,1.0,13925.0,1812.69,发改委价格监测中心,,政策有效期内,聚金数据，上海有色网,聚金数据,,
NMG,2020.0,0.4038,1.049,1.0,14101.0,1731.2,发改委价格监测中心,2020年中国区域和省级电网温室气体排放因子研究,政策有效期内,聚金数据，上海有色网,聚金数据,,
GX,2020.0,0.514,0.518,1.0,14101.0,1731.2,发改委价格监测中心,2020年中国区域和省级电网温室气体排放因子研究,政策有效期内,聚金数据，上海有色网,聚金数据,,
YN,2020.0,0.5145,0.148,1.0,14101.0,1731.2,发改委价格监测中心,2020年中国区域和省级电网温室气体排放因子研究,政策有效期内,聚金数据，上海有色网,聚金数据,,
HN,2020.0,0.605,0.756,0.0,14101.0,1731.2,发改委价格监测中心,2020年中国区域和省级电网温室气体排放因子研究,无产能承接政策，为产能转出省份,聚金数据，上海有色网,聚金数据,,
SD,2020.0,0.5975,0.785,0.0,14101.0,1731.2,发改委价格监测中心,2020年中国区域和省级电网温室气体排放因子研究,无产能承接政策，为产能转出省份,聚金数据，上海有色网,聚金数据,,
NMG,2021.0,0.4039,0.7025,1.0,18923.0,2485.13,发改委价格监测中心,2021年电力二氧化碳排放因子,政策有效期内,聚金数据，上海有色网,聚金数据,,
GX,2021.0,0.5235,0.5154,1.0,18923.0,2485.13,发改委价格监测中心,2021年电力二氧化碳排放因子,政策有效期内,聚金数据，上海有色网,聚金数据,,
HN,2021.0,0.6,0.6369,0.0,18923.0,2485.13,发改委价格监测中心,2021年电力二氧化碳排放因子,无产能承接政策，为产能转出省份,聚金数据，上海有色网,聚金数据,,
SD,2021.0,0.59,0.6838,0.0,18923.0,2485.13,发改委价格监测中心,2021年电力二氧化碳排放因子,无产能承接政策，为产能转出省份,聚金数据，上海有色网,聚金数据,,
YN,2021.0,0.5236,0.1235,1.0,18923.0,2485.13,发改委价格监测中心,2021年电力二氧化碳排放因子,政策有效期内,聚金数据，上海有色网,聚金数据,,
NMG,2022.0,0.4042,0.6849,1.0,19929.0,2711.71,发改委价格监测中心,关于发布2022年电力二氧化碳排放因子的公告,政策有效期内,聚金数据，上海有色网,聚金数据,,
YN,2022.0,0.5298,0.1073,1.0,19929.0,2711.71,发改委价格监测中心,关于发布2022年电力二氧化碳排放因子的公告,政策有效期内,聚金数据，上海有色网,聚金数据,,
GX,2022.0,0.53,0.4044,1.0,19929.0,2711.71,发改委价格监测中心,关于发布2022年电力二氧化碳排放因子的公告,政策有效期内,聚金数据，上海有色网,聚金数据,,
SD,2022.0,0.59,0.641,0.0,19929.0,2711.71,发改委价格监测中心,关于发布2022年电力二氧化碳排放因子的公告,无产能承接政策，为产能转出省份,聚金数据，上海有色网,聚金数据,,
HN,2022.0,0.6,0.6058,0.0,19929.0,2711.71,发改委价格监测中心,关于发布2022年电力二氧化碳排放因子的公告,无产能承接政策，为产能转出省份,聚金数据，上海有色网,聚金数据,,
SD,2023.0,0.7108,0.6191,0.0,18687.0,2287.29,发改委价格监测中心,2023 年电力二氧化碳排放因子,无产能承接政策，为产能转出省份,聚金数据，上海有色网,聚金数据,,
HN,2023.0,0.6,0.5897,0.0,18687.0,2287.29,发改委价格监测中心,2023 年电力二氧化碳排放因子,无产能承接政策，为产能转出省份,聚金数据，上海有色网,聚金数据,,
GX,2023.0,0.536,0.4476,1.0,18687.0,2287.29,发改委价格监测中心,2023 年电力二氧化碳排放因子,政策有效期内,聚金数据，上海有色网,聚金数据,,
NMG,2023.0,0.4045,0.6479,1.0,18687.0,2287.29,发改委价格监测中心,2023 年电力二氧化碳排放因子,政策有效期内,聚金数据，上海有色网,聚金数据,,
YN,2023.0,0.5352,0.1333,1.0,18687.0,2287.29,发改委价格监测中心,2023 年电力二氧化碳排放因子,政策有效期内,聚金数据，上海有色网,聚金数据,,
YN,2024.0,0.5452,0.129,1.0,19952.0,2456.77,发改委价格监测中心,,政策有效期内,聚金数据，上海有色网,聚金数据,,
GX,2024.0,0.5448,0.421,1.0,19952.0,2456.77,发改委价格监测中心,,政策有效期内,聚金数据，上海有色网,聚金数据,,
NMG,2024.0,0.4043,0.632,1.0,19952.0,2456.77,发改委价格监测中心,,政策有效期内,聚金数据，上海有色网,聚金数据,,
